draw_date_iso,w1,w2,w3,w4,w5,pb,order_type,source
1992-04-22,2,25,35,41,42,15,ascending_order_only,powerball_historico_2025-12-22.xlsx (ascending order only)
1992-04-25,6,9,22,42,44,12,ascending_order_only,powerball_historico_2025-12-22.xlsx (ascending order only)
1992-04-29,1,8,10,28,35,10,ascending_order_only,powerball_historico_2025-12-22.xlsx (ascending order only)
1992-05-02,14,23,31,32,41,33,ascending_order_only,powerball_historico_2025-12-22.xlsx (ascending order only)
1992-05-06,27,29,30,36,43,4,ascending_order_only,powerball_historico_2025-12-22.xlsx (ascending order only)
1992-05-09,1,12,16,23,31,33,ascending_order_only,powerball_historico_2025-12-22.xlsx (ascending order only)
1992-05-13,3,6,13,33,43,37,ascending_order_only,powerball_historico_2025-12-22.xlsx (ascending order only)
1992-05-16,2,9,19,28,30,38,ascending_order_only,powerball_historico_2025-12-22.xlsx (ascending order only)
1992-05-20,3,11,16,30,34,45,ascending_order_only,powerball_historico_2025-12-22.xlsx (ascending order only)
1992-05-23,23,27,28,36,44,26,ascending_order_only,powerball_historico_2025-12-22.xlsx (ascending order only)
1992-05-27,30,32,41,42,44,6,ascending_order_only,powerball_historico_2025-12-22.xlsx (ascending order only)
1992-05-30,4,8,17,19,45,9,ascending_order_only,powerball_historico_2025-12-22.xlsx (ascending order only)
1992-06-03,1,2,11,19,30,15,ascending_order_only,powerball_historico_2025-12-22.xlsx (ascending order only)
1992-06-06,2,6,9,10,42,20,ascending_order_only,powerball_historico_2025-12-22.xlsx (ascending order only)
1992-06-10,1,8,24,30,36,28,ascending_order_only,powerball_historico_2025-12-22.xlsx (ascending order only)
1992-06-13,13,27,29,42,43,41,ascending_order_only,powerball_historico_2025-12-22.xlsx (ascending order only)
1992-06-17,1,9,14,26,32,13,ascending_order_only,powerball_historico_2025-12-22.xlsx (ascending order only)
1992-06-20,7,11,15,21,35,12,ascending_order_only,powerball_historico_2025-12-22.xlsx (ascending order only)
1992-06-24,9,10,19,36,40,39,ascending_order_only,powerball_historico_2025-12-22.xlsx (ascending order only)
1992-06-27,17,23,24,31,35,25,ascending_order_only,powerball_historico_2025-12-22.xlsx (ascending order only)
1992-07-01,10,24,31,33,45,30,ascending_order_only,powerball_historico_2025-12-22.xlsx (ascending order only)
